.I,.T,.W,.B,.A,.K,.C,.N,.X
1,Preliminary Report-International Algebraic Language,,"December, 1958","Perlis, A. J. Samelson,K.",,,"March 22, 1978  8:28 PM","100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2,Extraction of Roots by Repeated Subtractions for Digital Computers,,"CACM December, 1958","Sugai, I.",,,"CA581202 JB March 22, 1978  8:29 PM","100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
3,Techniques Department on Matrix Program Schemes,,"CACM December, 1958","Friedman, M. D.",,,"CA581201 JB March 22, 1978  8:30 PM","100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
4,Glossary of Computer Engineering and Programming Terminology,,"CACM November, 1958",,,,"CA581103 JB March 22, 1978  8:32 PM","100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
5,Two Square-Root Approximations,,"CACM November, 1958","Wadey, W. G.",,,"CA581102 JB March 22, 1978  8:33 PM","100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
6,The Use of Computers in Inspection Procedures,,"CACM November, 1958","Muller, M. E.",,,"CA581101 JB March 22, 1978  8:33 PM","100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
7,Glossary of Computer Engineering and Programming Terminology,,"CACM October, 1958",,,,"CA581003 JB March 22, 1978  8:35 PM","100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
8,On The Equivalence and Transformation of Program Schemes,,"CACM October, 1958","Friedman, M. D.",,,"CA581002 JB March 22, 1978  8:36 PM","100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
9,Proposal for an UNCOL,,"CACM October, 1958","Conway, M. E.",,,"CA581001 JB March 22, 1978  8:37 PM","100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
10,Glossary of Computer Engineering and Programming Terminology,,"CACM September, 1958",,,,"CA580903 JB March 22, 1978  8:39 PM","100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
